row_id,system_tokens,user_tokens,total_tokens,sample_total_tokens,sample_avg_tokens,sample_max_tokens,sample_token_share_user,hierarchy_total_tokens,hierarchy_avg_tokens,hierarchy_max_tokens,hierarchy_token_share_user,Sample1_tokens,Sample2_tokens,Sample3_tokens,Hierarchy1_tokens,Hierarchy2_tokens,Hierarchy3_tokens
0,10,4036,4046,644,214.67,311,0.159564,2316,772.0,772,0.573835,131,202,311,772,772,772
1,10,8141,8151,4833,1611.0,3591,0.593662,2407,802.33,863,0.295664,331,3591,911,772,772,863
2,10,3518,3528,674,224.67,261,0.191586,2316,772.0,772,0.658329,190,223,261,772,772,772
3,10,4354,4364,1111,370.33,635,0.255168,2316,772.0,772,0.531925,230,246,635,772,772,772
4,10,4668,4678,1592,530.67,822,0.341045,2498,832.67,863,0.535133,822,512,258,863,772,863
5,10,5717,5727,1980,660.0,1019,0.346335,2316,772.0,772,0.405108,1019,167,794,772,772,772
6,10,4496,4506,916,305.33,476,0.203737,2316,772.0,772,0.515125,476,325,115,772,772,772
7,10,4179,4189,794,264.67,593,0.189998,2637,879.0,887,0.631012,90,111,593,887,887,863
8,10,4851,4861,1568,522.67,595,0.323232,2316,772.0,772,0.477427,573,400,595,772,772,772
9,10,6318,6328,2216,738.67,1434,0.350744,2316,772.0,772,0.366572,1434,572,210,772,772,772
10,10,5492,5502,1977,659.0,898,0.359978,2546,848.67,887,0.463583,348,898,731,772,887,887
11,10,7456,7466,2340,780.0,1772,0.313841,2316,772.0,772,0.310622,299,269,1772,772,772,772
12,10,6231,6241,2849,949.67,2212,0.45723,2316,772.0,772,0.37169,299,2212,338,772,772,772
13,10,7478,7488,3994,1331.33,1788,0.5341,2199,733.0,772,0.294063,717,1489,1788,772,772,655
14,10,4263,4273,1362,454.0,570,0.319493,2407,802.33,863,0.564626,570,489,303,772,863,772
15,10,5141,5151,2313,771.0,1064,0.449912,2316,772.0,772,0.450496,748,501,1064,772,772,772
16,10,4266,4276,1502,500.67,542,0.352086,2149,716.33,1145,0.503751,448,542,512,502,502,1145
17,10,11394,11404,3161,1053.67,1831,0.277427,2316,772.0,772,0.203265,1122,208,1831,772,772,772
18,10,7669,7679,1801,600.33,1008,0.234842,2316,772.0,772,0.301995,1008,559,234,772,772,772
19,10,4442,4452,1106,368.67,671,0.248987,2407,802.33,863,0.541873,252,671,183,772,772,863
20,10,7902,7912,2688,896.0,1931,0.340167,2316,772.0,772,0.29309,1931,396,361,772,772,772
21,10,3973,3983,874,291.33,422,0.219985,1635,545.0,772,0.411528,422,202,250,448,772,415
22,10,10199,10209,7604,2534.67,6223,0.745563,1611,537.0,772,0.157957,108,1273,6223,67,772,772
23,10,6551,6561,3732,1244.0,1818,0.569684,2316,772.0,772,0.353534,1818,177,1737,772,772,772
24,10,6397,6407,3062,1020.67,2152,0.478662,2407,802.33,863,0.37627,135,775,2152,863,772,772
25,10,7786,7796,1797,599.0,873,0.230799,2316,772.0,772,0.297457,873,597,327,772,772,772
26,10,5863,5873,2486,828.67,1253,0.424015,2134,711.33,863,0.363977,219,1014,1253,772,863,499
27,10,9193,9203,3161,1053.67,1831,0.343849,2316,772.0,772,0.251931,1122,1831,208,772,772,772
28,10,7835,7845,4549,1516.33,3601,0.5806,2498,832.67,863,0.318826,460,3601,488,772,863,863
29,10,6303,6313,2741,913.67,2077,0.434872,2316,772.0,772,0.367444,537,127,2077,772,772,772
30,10,8565,8575,3704,1234.67,1720,0.432458,1980,660.0,772,0.231173,1024,960,1720,772,772,436
31,10,3755,3765,979,326.33,507,0.260719,2316,772.0,772,0.616778,318,507,154,772,772,772
32,10,3259,3269,767,255.67,300,0.235348,1866,622.0,772,0.572568,216,251,300,772,322,772
33,10,6449,6459,2640,880.0,1288,0.409366,2316,772.0,772,0.359125,675,1288,677,772,772,772
34,10,6156,6166,2912,970.67,1432,0.473034,2316,772.0,772,0.376218,1239,241,1432,772,772,772
35,10,3935,3945,1088,362.67,474,0.276493,2083,694.33,863,0.529352,410,474,204,863,772,448
36,10,5373,5383,1625,541.67,861,0.302438,2316,772.0,772,0.431044,554,210,861,772,772,772
37,10,4979,4989,1914,638.0,805,0.384415,2316,772.0,772,0.465154,514,595,805,772,772,772
38,10,7640,7650,3196,1065.33,1796,0.418325,2316,772.0,772,0.303141,1796,595,805,772,772,772
39,10,5678,5688,2456,818.67,1288,0.432547,2738,912.67,983,0.482212,422,1288,746,983,772,983
40,10,5389,5399,1466,488.67,873,0.272036,2316,772.0,772,0.429764,327,266,873,772,772,772
41,10,5663,5673,2741,913.67,2077,0.484019,2316,772.0,772,0.408971,127,537,2077,772,772,772
42,10,6240,6250,1801,600.33,1008,0.288622,2316,772.0,772,0.371154,559,234,1008,772,772,772
43,10,5094,5104,1824,608.0,834,0.358068,2316,772.0,772,0.454653,834,330,660,772,772,772
44,10,8195,8205,2599,866.33,1704,0.317145,2498,832.67,863,0.30482,647,248,1704,772,863,863
45,10,4074,4084,707,235.67,260,0.17354,2316,772.0,772,0.568483,225,260,222,772,772,772
46,10,6310,6320,3462,1154.0,1971,0.548653,2316,772.0,772,0.367036,837,1971,654,772,772,772
47,10,4556,4566,1715,571.67,1061,0.376427,2316,772.0,772,0.508341,333,321,1061,772,772,772
48,10,7658,7668,2820,940.0,1512,0.368242,2316,772.0,772,0.302429,1512,997,311,772,772,772
49,10,5896,5906,1950,650.0,799,0.330733,2316,772.0,772,0.392809,644,799,507,772,772,772
50,10,6208,6218,2741,913.67,2077,0.441527,2316,772.0,772,0.373067,127,537,2077,772,772,772
51,10,6083,6093,2920,973.33,2077,0.480026,2316,772.0,772,0.380733,306,2077,537,772,772,772
52,10,5588,5598,2515,838.33,1454,0.450072,2316,772.0,772,0.41446,724,1454,337,772,772,772
53,10,6076,6086,4089,1363.0,2565,0.672976,1344,448.0,448,0.221198,661,863,2565,448,448,448
54,10,4873,4883,927,309.0,396,0.190232,2316,772.0,772,0.475272,361,396,170,772,772,772
55,10,6207,6217,3330,1110.0,1526,0.536491,2316,772.0,772,0.373127,362,1442,1526,772,772,772
56,10,4421,4431,1007,335.67,560,0.227777,2316,772.0,772,0.523863,275,560,172,772,772,772
57,10,5850,5860,1299,433.0,578,0.222051,2316,772.0,772,0.395897,384,337,578,772,772,772
58,10,5175,5185,932,310.67,409,0.180097,3681,1227.0,1227,0.711304,409,405,118,1227,1227,1227
59,10,10566,10576,7344,2448.0,3908,0.69506,2174,724.67,863,0.205754,3908,213,3223,863,448,863
60,10,3920,3930,1320,440.0,624,0.336735,1956,652.0,772,0.49898,624,439,257,772,592,592
61,10,4364,4374,1395,465.0,827,0.319661,2498,832.67,863,0.572411,827,381,187,772,863,863
62,10,6914,6924,2912,970.67,1432,0.421174,2316,772.0,772,0.334973,241,1239,1432,772,772,772
63,10,4755,4765,1926,642.0,994,0.405047,2316,772.0,772,0.487066,654,994,278,772,772,772
64,10,4974,4984,2278,759.33,1108,0.457982,1992,664.0,772,0.400483,1108,797,373,772,448,772
65,10,5649,5659,1742,580.67,916,0.308373,2407,802.33,863,0.426093,174,916,652,863,772,772
66,10,6913,6923,3667,1222.33,1663,0.53045,2498,832.67,863,0.361348,414,1590,1663,772,863,863
67,10,5272,5282,1627,542.33,807,0.308612,2316,772.0,772,0.439302,807,404,416,772,772,772
68,10,5529,5539,1592,530.67,663,0.287936,2316,772.0,772,0.418882,382,547,663,772,772,772
69,10,6077,6087,3237,1079.0,2116,0.532664,1871,623.67,1227,0.307882,2116,143,978,322,322,1227
70,10,4485,4495,813,271.0,394,0.181271,2307,769.0,1066,0.514381,97,394,322,378,863,1066
71,10,10042,10052,2859,953.0,1488,0.284704,2316,772.0,772,0.230631,120,1251,1488,772,772,772
72,10,6054,6064,2366,788.67,1554,0.390816,2316,772.0,772,0.382557,519,293,1554,772,772,772
73,10,9013,9023,5871,1957.0,4862,0.651392,2407,802.33,863,0.267059,4862,400,609,863,772,772
74,10,6393,6403,2384,794.67,1591,0.372908,2316,772.0,772,0.362271,1591,413,380,772,772,772
75,10,3911,3921,618,206.0,269,0.158016,2431,810.33,887,0.62158,269,167,182,772,772,887
76,10,5585,5595,2014,671.33,993,0.360609,2643,881.0,1099,0.473232,993,311,710,772,772,1099
77,10,4503,4513,1691,563.67,1108,0.375527,2316,772.0,772,0.514324,373,210,1108,772,772,772
78,10,5847,5857,2603,867.67,1302,0.445186,2316,772.0,772,0.396101,873,428,1302,772,772,772
79,10,4738,4748,1409,469.67,953,0.297383,2316,772.0,772,0.488814,953,292,164,772,772,772
80,10,6848,6858,1371,457.0,546,0.200204,2316,772.0,772,0.338201,546,530,295,772,772,772
81,10,5811,5821,1095,365.0,472,0.188436,2527,842.33,983,0.434865,422,201,472,983,772,772
82,10,6307,6317,3200,1066.67,1383,0.507373,2498,832.67,863,0.396068,1383,1003,814,772,863,863
83,10,4411,4421,1551,517.0,645,0.351621,2071,690.33,863,0.469508,327,645,579,772,436,863
84,10,10808,10818,2854,951.33,2019,0.264064,2316,772.0,772,0.214286,2019,560,275,772,772,772
85,10,6857,6867,3279,1093.0,1411,0.478197,2771,923.67,1227,0.404113,1411,1404,464,772,772,1227
86,10,3602,3612,986,328.67,552,0.273737,2125,708.33,772,0.58995,552,178,256,772,581,772
87,10,3479,3489,1025,341.67,488,0.294625,1992,664.0,772,0.572578,488,327,210,772,448,772
88,10,6771,6781,1361,453.67,658,0.201004,2316,772.0,772,0.342047,340,658,363,772,772,772
89,10,4367,4377,1605,535.0,892,0.367529,1626,542.0,589,0.372338,132,892,581,448,589,589
90,10,6784,6794,3667,1222.33,1663,0.540537,2498,832.67,863,0.368219,414,1590,1663,772,863,863
91,10,6615,6625,3081,1027.0,1871,0.46576,2316,772.0,772,0.350113,1871,798,412,772,772,772
92,10,4526,4536,1007,335.67,560,0.222492,2316,772.0,772,0.51171,275,560,172,772,772,772
93,10,10621,10631,5945,1981.67,5388,0.55974,2498,832.67,863,0.235194,5388,251,306,863,772,863
94,10,5000,5010,1768,589.33,916,0.3536,2316,772.0,772,0.4632,200,916,652,772,772,772
95,10,8629,8639,5469,1823.0,4468,0.633793,2414,804.67,983,0.279754,729,4468,272,983,983,448
96,10,6363,6373,3348,1116.0,2262,0.526167,2198,732.67,887,0.345435,493,593,2262,448,863,887
97,10,5090,5100,1876,625.33,929,0.368566,2407,802.33,863,0.472888,441,929,506,772,772,863
98,10,8543,8553,2310,770.0,1500,0.270397,2181,727.0,983,0.255297,371,439,1500,983,772,426
99,10,9113,9123,4661,1553.67,1946,0.511467,2589,863.0,863,0.2841,1946,1032,1683,863,863,863
100,10,17239,17249,13670,4556.67,7181,0.792969,1992,664.0,772,0.115552,5866,7181,623,772,772,448
101,10,6220,6230,3414,1138.0,2047,0.548875,2316,772.0,772,0.372347,370,997,2047,772,772,772
102,10,4727,4737,2160,720.0,1117,0.456949,2003,667.67,863,0.423736,562,1117,481,772,368,863
103,10,6486,6496,1601,533.67,993,0.246839,2643,881.0,1099,0.407493,993,311,297,772,772,1099
104,10,8196,8206,2055,685.0,1020,0.250732,1693,564.33,887,0.206564,1020,640,395,438,368,887
105,10,6214,6224,3008,1002.67,1411,0.484068,2316,772.0,772,0.372707,1411,1404,193,772,772,772
106,10,4472,4482,1726,575.33,1095,0.385957,2316,772.0,772,0.517889,1095,141,490,772,772,772
107,10,8345,8355,5416,1805.33,4692,0.649011,2316,772.0,772,0.277531,131,4692,593,772,772,772
108,10,7067,7077,2835,945.0,1418,0.40116,1750,583.33,772,0.24763,590,1418,827,772,610,368
109,10,7124,7134,2259,753.0,1611,0.317097,2133,711.0,772,0.29941,1611,534,114,589,772,772
110,10,5065,5075,1352,450.67,593,0.26693,2977,992.33,1227,0.587759,593,521,238,863,1227,887
111,10,7197,7207,3874,1291.33,2583,0.53828,2316,772.0,772,0.321801,916,375,2583,772,772,772
112,10,4452,4462,975,325.0,416,0.219003,1658,552.67,605,0.372417,328,416,231,605,605,448
113,10,6410,6420,2741,913.67,2077,0.427613,2316,772.0,772,0.36131,2077,537,127,772,772,772
114,10,5619,5629,1027,342.33,407,0.182773,3681,1227.0,1227,0.655099,407,350,270,1227,1227,1227
115,10,8271,8281,4489,1496.33,2920,0.54274,2043,681.0,772,0.247008,737,2920,832,772,772,499
